D,T,O,H,L,C
2017/1/3,1414,1961.15,1961.25,1960.84,1961.02
2017/1/3,1415,1960.95,1961.34,1960.67,1960.99
2017/1/3,1416,1961.16,1961.2,1960.6,1960.94
2017/1/3,1417,1960.93,1961,1960.67,1960.71
2017/1/3,1418,1960.63,1960.67,1960.21,1960.35
2017/1/3,1419,1960.42,1960.43,1959.79,1959.79
2017/1/3,1420,1959.8,1960.05,1959.72,1959.72
2017/1/3,1421,1959.77,1960.49,1959.77,1960.3
2017/1/3,1422,1960.39,1961.16,1960.38,1961.16
2017/1/3,1423,1961.2,1961.27,1960.83,1961.09
2017/1/3,1424,1961.21,1961.21,1960.84,1961.02
2017/1/3,1425,1961.13,1961.19,1960.89,1961.1
2017/1/3,1426,1961.2,1961.33,1960.8,1961.05
2017/1/3,1427,1960.98,1961.1,1960.78,1960.94
2017/1/3,1428,1960.94,1961.2,1960.93,1961.04
2017/1/3,1429,1960.89,1961.22,1960.79,1960.79
2017/1/3,1430,1960.87,1961.94,1960.74,1961.8
2017/1/3,1431,1961.77,1962.31,1961.43,1961.52
2017/1/3,1432,1961.37,1961.84,1961.27,1961.84
2017/1/3,1433,1961.82,1961.82,1961.3,1961.6
2017/1/3,1434,1961.78,1961.9,1961.38,1961.38
2017/1/3,1435,1961.4,1961.92,1961.4,1961.72
2017/1/3,1436,1961.63,1962.7,1961.6,1962.2
2017/1/3,1437,1962.19,1962.46,1962.08,1962.09
2017/1/3,1438,1962.25,1962.85,1962.25,1962.46
2017/1/3,1439,1962.7,1963.32,1962.7,1963.15
2017/1/3,1440,1963.26,1963.78,1963.26,1963.54
2017/1/3,1441,1963.52,1963.62,1962.81,1963.29
2017/1/3,1442,1963.17,1963.33,1962.44,1962.45
2017/1/3,1443,1962.45,1962.62,1962.14,1962.52
2017/1/3,1444,1962.45,1962.76,1962.19,1962.72
2017/1/3,1445,1962.79,1962.94,1962.48,1962.59
2017/1/3,1446,1962.77,1963.08,1962.42,1962.8
2017/1/3,1447,1962.33,1962.83,1962.31,1962.77
2017/1/3,1448,1962.75,1962.96,1962.59,1962.7
2017/1/3,1449,1962.89,1963.04,1962.47,1962.6
2017/1/3,1450,1962.66,1962.93,1962.29,1962.61
2017/1/3,1451,1962.7,1963.05,1962.54,1962.92
2017/1/3,1452,1962.85,1963.02,1962.77,1962.85
2017/1/3,1453,1962.89,1963.01,1962.63,1962.97
2017/1/3,1454,1962.94,1962.94,1962.58,1962.72
2017/1/3,1455,1962.55,1962.79,1962.24,1962.79
2017/1/3,1456,1962.67,1963.02,1962.37,1962.8
2017/1/3,1457,1962.71,1963.11,1962.24,1963.11
2017/1/3,1458,1962.79,1963.01,1962.79,1963.01
2017/1/3,1459,1963.01,1963.01,1963.01,1963.01
2017/1/3,1500,1963.25,1963.25,1963.25,1963.25
2017/1/4,931,1963.02,1963.9,1962.7,1963.12
2017/1/4,932,1963.08,1963.59,1962.91,1963.59
2017/1/4,933,1963.39,1963.67,1962.08,1962.34
2017/1/4,934,1962.38,1962.56,1961.79,1961.79
2017/1/4,935,1961.72,1962.17,1961.17,1961.99
2017/1/4,936,1962.11,1962.62,1961.73,1962.08
2017/1/4,937,1962,1962.38,1961.66,1961.79
2017/1/4,938,1961.48,1962.17,1961.32,1961.36
2017/1/4,939,1961.48,1961.54,1961.12,1961.39
2017/1/4,940,1961.44,1962.76,1961.41,1962.76
2017/1/4,941,1962.87,1963.63,1962.87,1963.48
2017/1/4,942,1963.83,1964.5,1963.7,1964.4
2017/1/4,943,1964.43,1964.85,1964.14,1964.85
2017/1/4,944,1964.8,1964.8,1964.17,1964.55
2017/1/4,945,1964.47,1964.56,1964.23,1964.42
2017/1/4,946,1964.35,1964.48,1964.07,1964.28
2017/1/4,947,1964.42,1964.74,1964.09,1964.67
2017/1/4,948,1964.63,1964.81,1964.5,1964.61
2017/1/4,949,1964.61,1964.61,1964.14,1964.28
2017/1/4,950,1964.18,1964.18,1963.27,1963.27
