D,T,O,H,L,C,V
2016/1/5,1351,2405.51,2406.16,2405.05,2406.05,25008
2016/1/5,1352,2405.97,2406.46,2402.88,2402.88,30779
2016/1/5,1353,2402.73,2402.73,2395.82,2395.82,39799
2016/1/5,1354,2395.35,2395.35,2389.14,2389.14,53523
2016/1/5,1355,2388.82,2388.82,2383.5,2383.63,58230
2016/1/5,1356,2383.42,2383.42,2380.57,2381.05,54360
2016/1/5,1357,2380.15,2380.41,2379.04,2380.41,55182
2016/1/5,1358,2380.33,2385.49,2380.33,2385.49,49369
2016/1/5,1359,2385.92,2390.82,2385.92,2390.72,37836
2016/1/5,1400,2390.72,2392.53,2390.72,2392.53,32220
2016/1/5,1401,2392.69,2394.18,2392.63,2394.18,29941
2016/1/5,1402,2394.15,2394.33,2393.65,2393.92,29434
2016/1/5,1403,2394.02,2394.02,2391.66,2391.66,28172
2016/1/5,1404,2391.08,2391.08,2388.96,2388.98,29016
2016/1/5,1405,2388.65,2388.65,2386.08,2386.08,35560
2016/1/5,1406,2385.81,2385.81,2383.62,2383.62,34464
2016/1/5,1407,2383.51,2383.51,2382,2382,41296
2016/1/5,1408,2382,2382,2380.25,2380.25,40003
